stck_oprc,stck_hgpr,stck_lwpr,stck_prpr,cntg_vol
14655.0,14710.0,14630.0,14680.0,100003
14680.0,14745.0,14635.0,14675.0,69938
14665.0,14700.0,14665.0,14670.0,41561
14670.0,14675.0,14640.0,14660.0,62484
14665.0,14672.0,14630.0,14660.0,68468
14665.0,14665.0,14605.0,14635.0,83233
14635.0,14650.0,14600.0,14640.0,75061
14640.0,14670.0,14635.0,14665.0,64393
14665.0,14665.0,14600.0,14600.0,44681
14600.0,14640.0,14590.0,14630.0,103042
14635.0,14640.0,14505.0,14510.0,86816
14510.0,14555.0,14465.0,14530.0,143722
14532.0,14532.0,14390.0,14490.0,129024
14490.0,14570.0,14490.0,14565.0,46522
14565.0,14610.0,14565.0,14565.0,79121
14565.0,14580.0,14520.0,14570.0,58439
14570.0,14572.0,14365.0,14380.0,121800
14380.0,14410.0,14350.0,14350.0,108259
14350.0,14370.0,14260.0,14320.0,218852
14320.0,14365.0,14230.0,14240.0,119439
14235.0,14240.0,14080.0,14090.0,313230
14100.0,14165.0,14000.0,14145.0,214059
14170.0,14265.0,14130.0,14215.0,157967
14215.0,14215.0,14020.0,14095.0,169982
14095.0,14165.0,14075.0,14165.0,172416
14165.0,14265.0,14160.0,14240.0,101539
14250.0,14290.0,14240.0,14285.0,69627
14280.0,14315.0,14265.0,14285.0,83134
14280.0,14300.0,14260.0,14265.0,74693
14265.0,14315.0,14235.0,14315.0,137893
14320.0,14325.0,14265.0,14325.0,106711
14330.0,14395.0,14315.0,14325.0,119933
14325.0,14395.0,14305.0,14380.0,60939
14380.0,14470.0,14370.0,14415.0,167996
14430.0,14435.0,14355.0,14380.0,102688
14095.0,14485.0,14030.0,14330.0,509412
14340.0,14480.0,14285.0,14365.0,375459
14370.0,14400.0,14205.0,14275.0,358677
14260.0,14380.0,14200.0,14250.0,197907
14250.0,14465.0,14245.0,14460.0,172954
14465.0,14655.0,14455.0,14570.0,402136
14580.0,14580.0,14290.0,14295.0,268276
14300.0,14350.0,14200.0,14260.0,222897
14260.0,14260.0,14150.0,14195.0,279652
14195.0,14195.0,14095.0,14155.0,249239
14155.0,14160.0,14055.0,14105.0,227784
14110.0,14245.0,14100.0,14215.0,173629
14215.0,14275.0,14205.0,14265.0,94069
14270.0,14290.0,14205.0,14210.0,111284
14210.0,14210.0,14145.0,14170.0,143722
14165.0,14190.0,14100.0,14185.0,196657
14185.0,14230.0,14175.0,14210.0,107945
14215.0,14265.0,14205.0,14255.0,100116
14255.0,14260.0,14215.0,14220.0,75847
14220.0,14225.0,14160.0,14165.0,101811
14180.0,14270.0,14165.0,14235.0,105212
14235.0,14300.0,14225.0,14295.0,158275
14295.0,14300.0,14205.0,14215.0,115226
14225.0,14230.0,14195.0,14195.0,82156
14195.0,14280.0,14190.0,14280.0,81587
14280.0,14280.0,14210.0,14215.0,86490
14215.0,14225.0,14200.0,14215.0,67868
14215.0,14265.0,14210.0,14215.0,198604
14212.0,14212.0,14150.0,14155.0,150207
14165.0,14200.0,14155.0,14160.0,65830
14160.0,14160.0,14140.0,14140.0,102794
14142.0,14165.0,14135.0,14137.0,84770
14137.0,14145.0,14095.0,14105.0,152652
14102.0,14105.0,14075.0,14080.0,147939
14080.0,14155.0,14070.0,14150.0,112573
14150.0,14155.0,14125.0,14135.0,69511
14140.0,14145.0,14125.0,14140.0,33059
14130.0,14145.0,14125.0,14130.0,40770
14130.0,14135.0,14120.0,14125.0,61252
14122.0,14125.0,14110.0,14115.0,54245
14115.0,14135.0,14110.0,14135.0,33989
14135.0,14140.0,14105.0,14105.0,77049
14102.0,14135.0,14102.0,14120.0,116711
14120.0,14125.0,14095.0,14100.0,94982
14100.0,14120.0,14090.0,14095.0,50010
14095.0,14095.0,14065.0,14075.0,87076
14075.0,14120.0,14070.0,14120.0,35191
14110.0,14125.0,14100.0,14125.0,87994
14125.0,14145.0,14105.0,14110.0,92775
14110.0,14110.0,14080.0,14105.0,96181
14100.0,14115.0,14075.0,14090.0,79678
14090.0,14095.0,14065.0,14085.0,104619
14085.0,14120.0,14085.0,14095.0,76789
14090.0,14095.0,14070.0,14075.0,66626
14075.0,14090.0,14055.0,14090.0,200023
14090.0,14100.0,14065.0,14090.0,114165
14095.0,14095.0,14020.0,14025.0,221579
14025.0,14025.0,14000.0,14015.0,194010
14020.0,14040.0,13990.0,14000.0,125466
14000.0,14005.0,13970.0,13970.0,119820
13970.0,14070.0,13965.0,14070.0,91837
14065.0,14070.0,14045.0,14060.0,121787
14060.0,14065.0,14040.0,14040.0,75156
14040.0,14065.0,14035.0,14055.0,48195
14050.0,14080.0,14040.0,14075.0,54565
14075.0,14095.0,14060.0,14080.0,42177
14077.0,14095.0,14070.0,14072.0,42488
14075.0,14080.0,14030.0,14035.0,91931
14040.0,14055.0,14020.0,14020.0,98614
14025.0,14025.0,14010.0,14015.0,59139
14015.0,14045.0,14010.0,14045.0,58092
14045.0,14055.0,14035.0,14050.0,30893
14270.0,14350.0,14165.0,14260.0,321491
14260.0,14630.0,14250.0,14620.0,598910
14625.0,14835.0,14620.0,14780.0,746427
14780.0,14855.0,14650.0,14655.0,711232
14665.0,14665.0,14500.0,14525.0,420163
14530.0,14840.0,14530.0,14815.0,552415
14820.0,14980.0,14800.0,14965.0,615140
14975.0,15100.0,14930.0,15030.0,887394
15030.0,15090.0,14985.0,15020.0,513050
15020.0,15280.0,15015.0,15270.0,770195
15275.0,15360.0,15135.0,15145.0,1050657
15145.0,15265.0,15095.0,15190.0,371335
15190.0,15195.0,15035.0,15045.0,307583
15045.0,15070.0,14910.0,15010.0,418126
15010.0,15150.0,14990.0,15130.0,213779
15145.0,15145.0,15080.0,15125.0,204895
15120.0,15150.0,15085.0,15090.0,178785
15085.0,15090.0,14970.0,14975.0,278328
14985.0,15115.0,14980.0,15115.0,156015
15115.0,15155.0,15015.0,15070.0,290353
15070.0,15080.0,15025.0,15025.0,100134
15025.0,15025.0,14940.0,15020.0,143508
15020.0,15035.0,14960.0,14960.0,92219
14965.0,14975.0,14955.0,14970.0,32045
